0.001	1%	0.549	21.36	23.80	22.34	0
0.007	1%	0.366	21.36	23.80	22.34	0
0.013	1%	0.366	21.36	23.80	22.34	0
0.049	1%	0.366	21.36	23.80	22.34	0
0.087	1%	0.549	21.36	23.80	22.34	0
0.124	1%	0.366	21.36	23.80	21.85	0
0.162	1%	1.282	21.36	23.31	21.85	0
0.199	1%	0.732	21.36	23.31	22.34	0
0.237	1%	0.549	21.36	23.80	21.85	0
0.275	1%	0.549	21.36	23.80	23.31	0
0.311	1%	0.549	21.36	23.31	22.34	0
0.349	1%	0.366	21.36	23.80	22.34	0
0.386	1%	0.549	21.36	23.80	21.85	0
0.424	1%	0.366	21.36	23.31	21.85	0
0.461	1%	0.549	21.36	23.31	21.85	0
0.499	1%	0.366	21.36	23.80	23.80	0
0.537	1%	0.549	21.36	23.31	21.85	0
0.574	1%	0.549	21.36	23.80	24.29	0
0.611	1%	0.549	21.36	23.80	24.29	0
0.648	1%	0.549	21.36	23.80	21.85	0
0.686	1%	0.549	21.36	23.80	21.85	0
0.723	1%	0.366	21.36	23.80	21.85	0
0.761	1%	0.549	21.36	23.80	25.27	0
0.798	1%	0.549	21.36	23.31	21.85	0
0.836	1%	0.549	21.36	25.27	21.85	0
0.874	1%	0.549	21.36	23.31	24.29	0
0.910	1%	0.549	21.36	23.80	22.34	0
0.948	1%	0.366	21.36	24.78	22.34	0
0.985	1%	0.366	21.36	24.29	21.85	0
1.023	1%	0.549	21.36	23.80	21.85	0
1.060	1%	0.549	21.36	23.80	21.85	0
1.098	1%	0.549	21.36	23.31	21.85	0
1.136	1%	0.549	21.85	23.31	21.85	0
1.173	1%	0.549	21.36	23.80	21.85	0
1.210	1%	0.366	21.36	23.31	21.85	0
1.247	1%	0.366	21.36	23.80	21.36	0
1.285	1%	0.549	21.36	23.80	22.34	0
1.322	1%	0.549	21.36	23.80	21.85	0
1.360	1%	0.366	21.36	23.80	22.34	0
1.397	1%	0.366	21.36	22.83	21.85	0
1.435	1%	0.366	21.36	24.29	21.85	0
1.473	1%	0.549	21.36	23.80	22.34	0
1.509	1%	0.366	21.36	25.27	21.85	0
1.547	1%	0.366	21.36	23.31	23.31	0
1.584	1%	0.366	21.36	23.80	21.85	0
1.622	1%	0.549	21.36	23.31	21.85	0
1.659	1%	0.366	21.36	23.31	21.36	0
1.697	1%	0.549	21.36	25.27	21.85	0
1.735	1%	0.366	21.36	23.80	22.34	0
1.772	1%	0.366	21.36	24.78	22.34	0
1.810	1%	0.366	21.36	23.80	22.34	0
1.846	1%	0.366	21.36	25.27	22.83	0
1.884	1%	0.549	21.36	23.31	23.80	0
1.921	1%	0.549	21.36	23.31	22.34	0
1.959	1%	0.549	21.36	23.31	21.85	0
1.996	1%	0.549	21.36	23.80	22.34	0
2.034	1%	0.366	21.85	24.29	22.34	0
2.072	1%	0.366	21.36	25.27	23.80	0
2.109	1%	0.549	21.36	23.80	22.34	0
2.146	1%	0.549	21.36	23.80	22.34	0
2.183	1%	0.366	21.36	23.80	23.31	0
2.221	1%	0.549	21.36	23.80	21.85	0
2.258	1%	0.366	21.36	23.80	22.34	0
2.296	1%	0.549	21.36	23.80	21.36	0
2.334	1%	0.366	21.36	23.80	22.34	0
2.371	1%	0.366	21.36	23.80	22.34	0
2.409	1%	0.549	21.36	23.80	22.34	0
2.445	1%	0.549	21.36	23.80	21.85	0
2.483	1%	0.549	21.36	23.80	22.83	0
2.520	1%	0.549	21.36	23.80	21.85	0
2.558	1%	0.366	21.36	23.80	21.85	0
2.595	1%	0.366	21.36	23.80	21.36	0
2.633	1%	0.366	21.85	23.80	21.85	0
2.671	1%	0.366	21.36	23.80	21.85	0
2.708	1%	0.366	21.36	24.29	22.34	0
2.745	1%	0.549	21.36	23.80	22.34	0
2.782	1%	0.366	21.36	23.80	21.36	0
2.820	1%	0.366	21.36	23.31	22.83	0
2.857	1%	0.549	21.36	23.80	22.34	0
2.895	1%	0.549	21.36	23.80	22.83	0
2.933	1%	0.549	21.36	23.80	22.34	0
2.970	1%	0.366	21.36	24.29	22.34	0
3.008	1%	0.732	21.36	23.31	21.85	1
3.064	1%	0.549	21.36	24.29	22.34	0
3.082	1%	0.366	21.36	25.27	23.31	0
3.119	1%	0.549	21.36	23.31	21.85	0
3.157	1%	0.366	21.36	23.80	22.34	0
3.194	1%	0.549	21.36	23.80	21.85	0
3.232	1%	0.549	21.36	23.80	22.83	0
3.270	1%	0.549	21.36	23.80	22.34	0
3.307	1%	0.366	21.36	23.80	22.34	0
3.344	1%	0.549	21.36	23.80	22.34	0
3.381	1%	0.549	21.36	23.80	21.85	0
3.419	1%	0.366	21.36	24.29	21.85	0
3.456	1%	0.549	21.36	23.80	21.85	0
3.494	1%	0.549	21.36	23.80	21.85	0
3.532	1%	0.549	21.36	23.80	22.34	0
3.569	1%	0.549	21.36	24.29	22.34	0
3.607	1%	0.366	21.36	23.80	21.85	0
3.644	1%	0.366	21.85	23.80	22.34	0
3.681	1%	0.549	21.36	23.31	21.36	0
3.718	1%	0.549	21.36	23.80	23.80	0
3.756	1%	0.366	21.36	24.78	22.34	0
3.793	1%	0.366	21.85	23.80	21.85	0
3.831	1%	0.366	21.36	23.80	21.85	0
3.869	1%	0.366	21.36	23.80	22.34	0
3.906	1%	0.366	21.36	24.29	22.34	0
3.944	1%	0.366	21.36	23.80	22.83	0
3.980	1%	0.366	21.36	23.80	22.34	0
